1	1	Mary	Smith	mary.smith@sakilacustomer.org	Y	1913 Hanoi Way		Nagasaki	35200	28303384290	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
2	2	Patricia	Johnson	patricia.johnson@sakilacustomer.org	Y	1121 Loja Avenue		California	17886	838635286649	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
3	3	Linda	Williams	linda.williams@sakilacustomer.org	Y	692 Joliet Street		Attika	83579	448477190408	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
4	4	Barbara	Jones	barbara.jones@sakilacustomer.org	Y	1566 Inegl Manor		Mandalay	53561	705814003527	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
5	5	Elizabeth	Brown	elizabeth.brown@sakilacustomer.org	Y	53 Idfu Parkway		Nantou	42399	10655648674	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
6	6	Jennifer	Davis	jennifer.davis@sakilacustomer.org	Y	1795 Santiago de Compostela Way		Texas	18743	860452626434	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
7	7	Maria	Miller	maria.miller@sakilacustomer.org	Y	900 Santiago de Compostela Parkway		Central Serbia	93896	716571220373	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
8	8	Susan	Wilson	susan.wilson@sakilacustomer.org	Y	478 Joliet Way		Hamilton	77948	657282285970	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
9	9	Margaret	Moore	margaret.moore@sakilacustomer.org	Y	613 Korolev Drive		Masqat	45844	380657522649	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
10	10	Dorothy	Taylor	dorothy.taylor@sakilacustomer.org	Y	1531 Sal Drive		Esfahan	53628	648856936185	2006/02/14 00:00:00.000	2013/05/26 14:49:45.738000000	1	2013/05/26 00:00:00.000	9999/12/31 00:00:00.000	1
